Açaí-Guaraná,Citrus,Estação,LAT,LONG,Maçã-Verde,Movimentação,Original_269,Original_473,Pêssego,TARGET,Tangerina,Tempo,Zero,row
43,9,Brigadeiro,-23.5683,-46.6482,38,49120,20,23,43,NORMAL,41,2018-9-16,24,976
7,25,Brigadeiro,-23.5683,-46.6482,38,45993,33,66,38,NORMAL,20,2018-11-14,24,1034
43,21,Brigadeiro,-23.5683,-46.6482,33,49695,65,35,36,NORMAL,11,2019-1-11,28,1091
15,8,Brigadeiro,-23.5683,-46.6482,12,48838,65,17,16,NORMAL,21,2019-5-16,58,1216
15,25,Consolao,-23.5581,-46.6606,29,111669,21,86,13,NORMAL,26,2018-5-12,12,2292
11,21,Consolao,-23.5581,-46.6606,20,114977,2,74,8,NORMAL,30,2018-6-17,22,2327
43,39,Consolao,-23.5581,-46.6606,27,113827,10,86,15,NORMAL,16,2019-5-7,45,2647
30,30,Fradique Coutinho,-23.5661,-46.6841,11,35670,12,8,30,REABASTECER,10,2018-12-7,22,10417
17,33,Consolao,-23.5581,-46.6606,15,112807,39,86,13,NORMAL,35,2019-10-15,61,2805
24,10,Consolao,-23.5581,-46.6606,39,112881,59,61,22,NORMAL,7,2019-11-3,65,2823
38,13,Tamanduate,-23.59290,-46.5897,14,50690,3,75,8,REABASTECER,3,2018-1-11,65,2891
14,24,Tamanduate,-23.59290,-46.5897,43,49723,60,6,35,REABASTECER,33,2018-2-16,24,2926
8,18,Fradique Coutinho,-23.5661,-46.6841,29,36075,65,35,30,NORMAL,12,2019-6-23,9,10613
8,13,Fradique Coutinho,-23.5661,-46.6841,34,34590,23,31,43,REABASTECER,43,2019-9-23,9,10703
33,22,Tamanduate,-23.59290,-46.5897,33,52547,36,86,29,NORMAL,14,2018-6-17,46,3047
33,39,Trianon-Masp,-23.5634,-46.6544,39,42890,65,13,27,NORMAL,6,2019-12-1,56,2131
27,31,Fradique Coutinho,-23.5661,-46.6841,41,35654,65,13,17,NORMAL,26,2019-11-25,32,10765
43,17,Consolao,-23.5581,-46.6606,13,114169,59,79,5,REABASTECER,43,2018-1-11,58,2171
